Contract Name,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPXW260227C06670000,11/20/2025 10:07 AM,6670,325.9,286.1,287.5,0,0.00%,2,0,19.81%
SPXW260227C06675000,11/24/2025 10:25 AM,6675,264.78,282.7,284,0,0.00%,1,0,19.73%
SPXW260227C06680000,11/21/2025 10:41 AM,6680,215.6,279.3,280.7,0,0.00%,1,0,19.67%
SPXW260227C06690000,11/21/2025 10:58 AM,6690,214.32,272.9,274.3,0,0.00%,1,0,19.56%
SPXW260227C06700000,11/24/2025 3:56 PM,6700,271.27,266.2,267.7,0,0.00%,2,0,19.44%
SPXW260227C06710000,11/24/2025 9:48 AM,6710,239.6,259.8,261.3,0,0.00%,2,0,19.32%
SPXW260227C06720000,11/24/2025 1:25 PM,6720,259.3,253.4,254.9,0,0.00%,1,0,19.20%
SPXW260227C06725000,11/18/2025 11:11 AM,6725,228.97,250.1,251.5,0,0.00%,2,0,19.12%
SPXW260227C06730000,11/17/2025 2:27 PM,6730,248.82,247,248.3,0,0.00%,1,0,19.06%
SPXW260227C06740000,11/17/2025 1:23 PM,6740,262.3,240.8,242.2,0,0.00%,7,0,18.95%